wine_id,rating
1250850,5.0
1232073,5.0
82144,5.0
4522384,5.0
1243103,5.0
1416890,5.0
2039835,5.0
1446899,5.0
85811,5.0
1340110,5.0
10406817,5.0
91210,5.0
2947781,5.0
7068762,5.0
1192069,5.0
1457591,5.0
2590529,5.0
1574866,5.0
1283739,5.0
1244230,5.0
94984,5.0
1319377,5.0
1190951,5.0
2257471,5.0
23899,5.0
1313850,4.5
2367824,4.5
88763,4.5
1300569,4.5
1621288,4.5
1777099,4.5
1516609,4.5
2201186,4.5
1180516,4.5
81734,4.5
2170665,4.5
1773797,4.5
1268094,4.5
2518437,4.5
1292210,4.0
1145499,4.0
2516651,4.0
1389995,4.0
8708376,4.0
1373683,4.0
1645183,4.0
2842441,4.0
1293766,4.0
1356775,4.0
5573565,4.0
6015986,4.0
1268298,4.0
93746,4.0
2995017,4.0
2622355,4.0
2000829,4.0
2465081,4.0
2487664,4.0
1376303,4.0
1241474,4.0
1688444,4.0
2996157,4.0
3127592,4.0
3931991,4.0
1367591,4.0
1339913,4.0
2496933,4.0
1558738,4.0
4468260,4.0
1211585,4.0
1170421,4.0
1284020,4.0
1283870,4.0
2017148,4.0
7288063,4.0
1329303,4.0
7413183,4.0
1380138,4.0
1228671,4.0
3069917,4.0
3764944,4.0
3408329,4.0
82872,4.0
105383,4.0
3758481,4.0
1236577,4.0
95939,4.0
1217795,4.0
86702,4.0
1238102,4.0
2202,4.0
14464,4.0
87786,4.0
1239545,4.0
1186195,4.0
1229430,4.0
1187474,4.0
1253508,4.0
3616289,4.0
1373311,4.0
80746,4.0
1163615,4.0
1329390,4.0
1309006,4.0
1244464,4.0
91446,4.0
1222392,4.0
1236658,4.0
1237474,4.0
1391975,4.0
1300964,4.0
1522106,4.0
1826110,4.0
1194422,4.0
1149980,3.5
2047263,3.5
1327753,3.5
1394379,3.5
1249964,3.5
37090712,3.5
4038505,3.5
4300933,3.5
1437752,3.5
4549019,3.5
1537045,3.5
164942584,3.5
1153180,3.5
1469869,3.5
95134,3.5
1153972,3.5
2569071,3.5
1893791,3.5
4122408,3.5
1330632,3.5
1418196,3.5
5409621,3.5
799331,3.5
1700788,3.5
2217600,3.5
2042584,3.5
5402609,3.5
1330307,3.5
1596925,3.5
2934015,3.5
5803801,3.0
3459289,3.0
2565956,3.0
6765113,3.0
2404724,3.0
1814394,3.0
4300759,3.0
2336245,3.0
4563107,3.0
1176673,3.0
17044709,3.0
5610409,3.0
5056394,3.0
2915191,3.0
1887107,3.0
4183244,3.0
2109246,3.0
1229413,3.0
2023478,3.0
1402161,3.0
1581392,3.0
15801298,3.0
1248849,3.0
1345230,3.0
1424718,3.0
4115017,3.0
1270270,3.0
1350317,3.0
1225517,3.0
1633821,3.0
5650652,3.0
1277219,3.0
23593,3.0
1361223,3.0
1726548,3.0
1660385,3.0
1122198,3.0
1598292,3.0
1598290,3.0
1455053,3.0
1272436,3.0
1601833,3.0
1382474,3.0
1275587,3.0
1292086,3.0
1162115,3.0
4148890,3.0
1482865,3.0
1224398,3.0
95380,3.0
1331558,3.0
1276029,3.0
84996,3.0
18616,3.0
2798771,2.5
2360786,2.5
3175717,2.5
3824252,2.5
2955004,2.0
2967792,2.0
1202048,2.0
3173528,2.0
1225512,2.0
1721111,5.0
9850,5.0
1708569,5.0
1506241,5.0
82503,5.0
1402036,4.5
16011985,4.5
2674926,4.5
19178586,4.5
95223,4.5
146921132,4.5
15830879,4.5
96596645,4.5
2404649,4.5
9189382,4.5
1835428,4.5
9040706,4.5
151648447,4.5
154980140,4.5
1682343,4.5
14146987,4.5
158680289,4.5
1201449,4.5
5925290,4.5
2436982,4.5
1346000,4.5
3439818,4.5
85559438,4.5
1125473,4.5
106955138,4.5
11543679,4.5
1203040,4.5
143427961,4.5
1283888,4.5
156544419,4.5
7552768,4.5
159781258,4.5
143551376,4.5
108717013,4.5
4315615,4.5
144767950,4.5
142330545,4.5
2384142,4.5
4049804,4.5
17274641,4.5
2679023,4.5
94989,4.5
1307500,4.5
1207982,4.5
7035555,4.5
135218685,4.5
4484378,4.5
5720,4.5
1246297,4.5
3698778,4.5
1867831,4.5
2645641,4.5
3301973,4.5
1980121,4.5
1346291,4.5
3427530,4.5
3582436,4.5
5952199,4.5
3223664,4.5
1207347,4.5
2161848,4.5
1378076,4.5
95390,4.5
1207963,4.5
3401699,4.5
1201831,4.5
84931,4.5
2032537,4.5
2201186,4.5
757037,4.5
1661422,4.5
1418050,4.5
1624250,4.5
1282334,4.5
1200232,4.5
1220740,4.5
19657,4.5
1398336,4.5
65454,4.5
5283157,4.5
5853401,4.5
6950683,4.0
15741303,4.0
3323848,4.0
102814472,4.0
11531782,4.0
6612194,4.0
4515997,4.0
72184,4.0
16706133,4.0
95672309,4.0
143036587,4.0
88928380,4.0
155645605,4.0
156179331,4.0
1281106,4.0
100015094,4.0
22335399,4.0
2212079,4.0
121888838,4.0
4631194,4.0
152083181,4.0
14769423,4.0
153116649,4.0
155694839,4.0
150487412,4.0
2883157,4.0
151929448,4.0
154972702,4.0
35873234,4.0
150291393,4.0
96670209,4.0
2822809,4.0
150574723,4.0
150470049,4.0
7104703,4.0
159905388,4.0
5160133,4.0
3645541,4.0
7140787,4.0
15224433,4.0
150515932,4.0
4337269,4.0
2936671,4.0
105332013,4.0
15428687,4.0
153400120,4.0
9147448,4.0
11764438,4.0
152820972,4.0
4049303,4.0
14155244,4.0
151659088,4.0
156994933,4.0
156486006,4.0
154187903,4.0
1131866,4.0
24091425,4.0
84930,4.0
1479366,4.0
1858157,4.0
3001834,4.0
5160641,4.0
1122290,4.0
1924843,4.0
151137515,4.0
141276464,4.0
3944422,4.0
9020297,4.0
5621387,4.0
5279317,4.0
3978071,4.0
65444,4.0
18308028,4.0
4133167,4.0
37060371,4.0
26948334,4.0
1924263,4.0
48481795,4.0
105385,4.0
141096117,4.0
18135712,4.0
2143145,4.0
5061609,4.0
2691193,4.0
89357,4.0
1365896,4.0
1131847,4.0
1499421,4.0
5642358,4.0
1247383,4.0
24013627,4.0
23100858,4.0
14804612,4.0
1334227,4.0
2707581,4.0
112001,4.0
10841428,4.0
4222337,4.0
2792613,4.0
12870205,4.0
7585055,4.0
91035,4.0
10215419,4.0
7168801,4.0
1411355,4.0
1122223,4.0
1312125,4.0
1952468,4.0
2136111,4.0
5051525,4.0
1205390,4.0
2171157,4.0
1346378,4.0
2521634,4.0
6751771,4.0
2707673,4.0
5610979,4.0
2550105,4.0
3732552,4.0
3572227,4.0
11469323,4.0
3291939,4.0
9365363,4.0
25866875,4.0
2185951,4.0
7572833,4.0
3682030,4.0
82206580,4.0
32038734,4.0
3724983,4.0
12843877,4.0
3698729,4.0
1122188,4.0
4036857,4.0
1262760,4.0
24150,4.0
1242956,4.0
24454228,4.0
34265240,4.0
12158191,4.0
2936670,4.0
1173200,4.0
2530160,4.0
1585966,4.0
7650473,4.0
2805768,4.0
2038565,4.0
3240679,4.0
1431566,4.0
6578260,4.0
2674018,4.0
2186200,4.0
2302974,4.0
2259679,4.0
2234834,4.0
1595757,4.0
1390868,4.0
2891794,4.0
3292682,4.0
1216871,4.0
4043219,4.0
2706935,4.0
1637805,4.0
1840049,4.0
1416890,4.0
81755,4.0
1292654,4.0
1283870,4.0
9392064,4.0
160951689,3.5
160140608,3.5
14256340,3.5
158435161,3.5
156208316,3.5
156281835,3.5
156531585,3.5
163271822,3.5
159446508,3.5
3517622,3.5
152455079,3.5
150527701,3.5
156735283,3.5
159598558,3.5
150979580,3.5
153342269,3.5
150433136,3.5
148800441,3.5
17771905,3.5
142470688,3.5
3219284,3.5
1323280,3.5
22845042,3.5
14724003,3.5
3970059,3.5
4438409,3.5
3233537,3.5
25521850,3.5
2514122,3.5
12118115,3.5
39696125,3.5
142332727,3.5
10433579,3.5
1661089,3.5
1688444,3.5
6789402,3.5
3275412,3.5
3250196,3.5
